epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,16639,0.76192,0.52649,0.95895,0.86729,0.8468,0.92435,0.74472,0.94826,0.55892,1.01483,0.00413392,0.00413392,0.00413392
90,16826.2,0.75762,0.51816,0.95977,0.86788,0.84469,0.92401,0.74521,0.94765,0.55809,1.01491,0.00406726,0.00406726,0.00406726
91,17016.2,0.75927,0.52409,0.95838,0.86753,0.84594,0.9243,0.74591,0.94662,0.55739,1.01532,0.0040006,0.0040006,0.0040006
92,17206.7,0.75196,0.51571,0.95518,0.87061,0.84308,0.92431,0.74614,0.94602,0.55748,1.01449,0.00393394,0.00393394,0.00393394
93,17397.3,0.75972,0.52,0.95861,0.86594,0.84971,0.92458,0.74612,0.94528,0.55724,1.01476,0.00386728,0.00386728,0.00386728
94,17587.4,0.7489,0.51257,0.95558,0.86712,0.84855,0.9244,0.74594,0.94545,0.55693,1.0148,0.00380062,0.00380062,0.00380062
95,17777,0.75841,0.5174,0.95849,0.86817,0.84829,0.9248,0.74632,0.94537,0.55586,1.01469,0.00373396,0.00373396,0.00373396
96,17965.8,0.75245,0.51539,0.95599,0.86926,0.84953,0.92558,0.74696,0.94553,0.55441,1.0151,0.0036673,0.0036673,0.0036673
97,18157.1,0.74698,0.51432,0.95465,0.87121,0.84768,0.92588,0.74727,0.94434,0.55421,1.01427,0.00360064,0.00360064,0.00360064
98,18346,0.74716,0.51118,0.95346,0.86841,0.84946,0.92609,0.7474,0.94389,0.55338,1.01372,0.00353398,0.00353398,0.00353398
99,18530.8,0.74667,0.51183,0.95404,0.86873,0.84812,0.92567,0.74735,0.94381,0.5532,1.01335,0.00346732,0.00346732,0.00346732
100,18719.7,0.75087,0.51315,0.95494,0.86844,0.84877,0.92599,0.74762,0.94337,0.55276,1.01267,0.00340066,0.00340066,0.00340066
101,18908.2,0.74437,0.50913,0.95236,0.87661,0.83999,0.92615,0.74793,0.9428,0.55265,1.01218,0.003334,0.003334,0.003334
