epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
99,24261.7,0.48001,0.49391,0.13031,0.83748,0.79825,0.85358,0.61984,0.41461,0.487,0.13587,0.00346732,0.00346732,0.00346732
100,24507.1,0.48392,0.49395,0.13142,0.83647,0.79904,0.85359,0.62031,0.41432,0.48667,0.13574,0.00340066,0.00340066,0.00340066
101,24752.5,0.48072,0.49528,0.13178,0.83558,0.8005,0.85397,0.6206,0.41415,0.48658,0.13571,0.003334,0.003334,0.003334
102,24998.7,0.47498,0.49204,0.12924,0.83541,0.80074,0.85405,0.62075,0.41414,0.48704,0.1355,0.00326734,0.00326734,0.00326734
103,25245.2,0.47558,0.49426,0.13014,0.83852,0.79858,0.85499,0.62119,0.41396,0.48579,0.1355,0.00320068,0.00320068,0.00320068
104,25492.1,0.4821,0.49122,0.13065,0.83465,0.80208,0.85472,0.62119,0.41394,0.48615,0.1356,0.00313402,0.00313402,0.00313402
105,25738.6,0.47785,0.49464,0.13023,0.83558,0.80195,0.85497,0.62144,0.41367,0.48614,0.13532,0.00306736,0.00306736,0.00306736
106,25984.6,0.47859,0.4957,0.13082,0.83572,0.80058,0.85502,0.62156,0.41345,0.48631,0.13521,0.0030007,0.0030007,0.0030007
107,26230.7,0.47507,0.49013,0.12846,0.83595,0.80064,0.85506,0.62195,0.413,0.48672,0.13504,0.00293404,0.00293404,0.00293404
108,26476.9,0.47854,0.49214,0.13189,0.8359,0.80132,0.85577,0.62216,0.41296,0.48651,0.13522,0.00286738,0.00286738,0.00286738
109,26723.8,0.47074,0.48736,0.12904,0.83516,0.80159,0.85572,0.62215,0.41301,0.48661,0.1352,0.00280072,0.00280072,0.00280072
110,26970.4,0.47456,0.48749,0.12875,0.83533,0.80205,0.85624,0.6224,0.41281,0.48652,0.1352,0.00273406,0.00273406,0.00273406
111,27216.8,0.46617,0.49006,0.12836,0.83657,0.8018,0.85585,0.62229,0.41306,0.48574,0.13527,0.0026674,0.0026674,0.0026674
112,27462.7,0.47186,0.48819,0.12767,0.83549,0.80143,0.85618,0.62247,0.41271,0.48519,0.13515,0.00260074,0.00260074,0.00260074
113,27709.2,0.47183,0.48861,0.12553,0.83593,0.80201,0.85608,0.6228,0.41258,0.48477,0.135,0.00253408,0.00253408,0.00253408
114,27955.2,0.47006,0.4847,0.12652,0.83758,0.80122,0.85653,0.62293,0.41228,0.48466,0.13476,0.00246742,0.00246742,0.00246742
115,28201.5,0.47018,0.48822,0.12674,0.83616,0.80224,0.85692,0.62314,0.4123,0.48402,0.1349,0.00240076,0.00240076,0.00240076
116,28447.4,0.47064,0.48674,0.12854,0.8371,0.80245,0.85692,0.62312,0.41224,0.48381,0.13474,0.0023341,0.0023341,0.0023341
